,job_title,organization,min_salary,max_salary,location,job_description,job_type
61,"Staff Software Engineer, AI",Spot AI,"$175,000","$240,000","Remote, United States","Who we are. Founded by engineers from Stanford, Cisco Meraki, and Samsara, Spot AI is one of the fastest growing Video AI companies in the U.S., transforming standard cameras into powerful AI tools that elevate safety, security and operations for businesses nationwide. In just four years, we have processed more than 1 billion hours of video and today ingest more daily new videos than YouTube. Our industry leading Video AI agents are changing physical operations and defining what video AI can accomplish for physical operations. We are challenging and disrupting the $30 billion video surveillance market with a plug-and-play camera agnostic solution that is expanding use-cases beyond traditional security. Our approach has fueled fast adoption across 17 industries, powering nearly 1000 businesses and over 70,000 camera feeds. Our exceptionally talented team has created a high growth trajectory that has attracted almost $100 million in investment from top venture firms, including Redpoint, Scale Venture Partners, Bessemer, StepStone and Qualcomm. Ready to learn more? Watch this customer, product and team video! We’re looking for like-minded builders. We are an extremely passionate and ambitious team building a company designed to outlast our lifetime. No matter the role or level, Spotans (our team members) share a common DNA, and we’re looking for more teammates who share the same high-performance mindset: Relentless Drive: You have extreme ambition and something to prove. Challenges fuels you. Building isn’t just what you do; it’s who you are. Builder’s Mentality: You thrive on creating new solutions, not maintaining the status quo. If you've founded a company, been employee number 1 - 20, or have run a venture for over two years, we’re especially excited to meet you! High Hustle, High Humility: You combine high IQ with high EQ, a low ego, and an unyielding work ethic that pushes you to be among the best at what you do. Our cultural pillars guide how we operate. We: Spend Strategically. We maximize resources and minimize waste. Push for Progress. We make decisions, move fast, and celebrate action. Obsess Over Customers: We remove friction and add value to create delight. Trust Our Team: Respect, trust and collaboration are non-negotiable . Act Like Owners: We say what we’ll do, and we do what we say, taking pride and responsibility in our work. Never Stop Having Fun: We’re creating something epic, and we’re having fun doing it. Who you are. You are self-motivated and accountable. You excel with ownership and autonomy, producing high quality outcomes with minimal direction and oversight. You have strong intuition on what's most important to work on, and can focus on the most critical items. You are a balanced visionary. You contribute to strategy with an ability to see the big picture, while also appreciating details with a drive to make meaningful, hands-on contributions. You are a humble expert. You bring strong expertise and nuanced perspectives on the latest AI technology, while staying open to new ideas and new ways of doing things. You focus on getting it right in a team setting, rather than being right. You strive for the next level. You’re ready to stretch your impact and influence and are ready to take on larger scale challenges and/or act as a mentor. You bring rich AI experience. You have a strong background in AI, ideally with video processing experience, however, experienced practitioners in AI can adapt as necessary. You understand classic deep learning techniques, from YOLO to transformer models to linear classifiers. Yet, you also have experience with the latest AI foundation models, from embeddings to LLMs and prompt engineering. You are a creative thinker and problem solver. You naturally think outside the box to solve new sets of customer problems, even with few resources. You have a keen eye and technical frameworks for setting an AI technical direction based on customer context. You bring high-scale technical excellence. You deeply understand software design, architecture, big-data processing pipelines, and best practices on systems design + scalability, code quality, and data/model design. You appreciate the finer details, such as edge model optimizations, vector indexes and how they work, or how to design a maintainable data schema. You’ve designed and led complex systems, shaped multi-team architectures, and created frameworks that prevent defects and improve validation across products. You’re a debugging and operational excellence expert. You adopt observability tools, tackle unfamiliar codebases, and develop resources like runbooks to prevent issues. You have an eye for impending technical issues or optimization opportunities, and architectural improvements that could be made to increase overall engineering productivity. You’re a technical leader. You understand the skill and personal strengths of team members, effectively mentoring them and placing engineers into the projects that make them and the company successful You bring 6+ years in software engineering , with significant expertise in AI plus a strong track record in high-quality system delivery. What you’ll do: You’ll play a critical role in advancing Spot AI’s capabilities, using your AI expertise to drive innovative solutions for businesses with physical environments—from manufacturing plants to car dealerships. Leading the design and integration of AI-driven features, you’ll elevate both new and existing products, focusing on scalable, real-world applications that improve safety, operations, and efficiency. Working closely with cross-functional teams, you’ll apply cutting-edge AI techniques to transform video data into actionable insights that empower our clients. By setting standards in AI reliability and performance, you’ll ensure Spot AI’s product suite consistently delivers high-impact outcomes. What excites you: Working on and thinking about the latest models across multiple domains, such as Dinov2, CLIP, GPT4o/Gemini. Applying these models to real world physical problems to enhance safety, operations, and efficiency. Working with a datastream of over 200k datapoints and embeddings a second, wrangling this into actionable insights with fast and accurate queries. Helping to democratize and educate about the latest foundational models to customers and team members, helping them share your vision of what AI can do for the world. Working with a global, several thousand node distributed hybrid edge-cloud, processing millions of hours of video a day.A place that gives you the room to learn from failure while driving excellence. Advancing Spot AI’s product capabilities by applying cutting-edge AI techniques, helping transform video data into powerful, real-world solutions for our clients. Designing and implementing AI-driven features across new and existing products, with a focus on scalability and tangible value for diverse industries. Diving into complex challenges in video intelligence, using your expertise to bring actionable insights to businesses in physical environments. Collaborating closely with cross-functional teams to build tools and frameworks that set a new standard for AI performance and reliability in our industry. Mentoring and guiding other engineers to foster collaboration and innovation that increase project impact. A culture where hard work that drives great outcomes is expected, celebrated, and rewarded. A place where you can make industry-wide impact and contribute to one of the most exciting technologies of our time Compensation and Benefits. Annual Base Salary Range: $175,000 - $240,000. The offered salary depends on your location within the U.S. and your demonstrated skills and competencies for the role. Your recruiting partner will provide more details on the range specific to your geography as you move through the interview process. Meaningful early stage equity Medical, dental and vision plan options with significant company contributions towards premiums Company paid short- and long-term disability plans Company paid life insurance 401K with Employer Match Come build the future of Video AI with us! We are creating and cultivating a diverse and inclusive culture where we celebrate individuals for what they accomplish, no matter who they are! As an equal opportunity employer, we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Full Time
62,"VP, Data Science & AI Engineering",6sense,"$97,000","$166,750","United States, Remote","Our Mission: 6sense is on a mission to revolutionize how B2B organizations create revenue by predicting customers most likely to buy and recommending the best course of action to engage anonymous buying teams. 6sense Revenue AI is the only sales and marketing platform to unlock the ability to create, manage and convert high-quality pipeline to revenue. Our People: People are the heart and soul of 6sense. We serve with passion and purpose. We live by our Being 6sense values of Accountability, Growth Mindset, Integrity, Fun and One Team. Every 6sensor plays a part in deﬁning the future of our industry-leading technology. 6sense is a place where difference-makers roll up their sleeves, take risks, act with integrity, and measure success by the value we create for our customers. We want 6sense to be the best chapter of your career. The Role: VP, Data Science & AI Engineering At 6sense, we are redefining how B2B companies predict, prioritize, and engage with buyers. As VP, Data Science & AI Engineering, you will drive and execute the vision of how AI powers our product by embedding AI at the core of our product experience. From advanced predictive models to generative and agentic intelligence, your leadership will shape the next generation of AI-native products. We’re looking for a visionary and execution-driven leader with deep expertise in both data science and ML engineering. You’ll own the end-to-end AI/ML strategy — from model development to deployment at scale — while building strong cross-functional relationships to drive adoption, value, and innovation. You will partner closely with product, engineering, GTM, and executive leadership to define and execute the roadmap for AI-native capabilities, predictive modeling, and real-time intelligence — all underpinned by scalable, reliable ML infrastructure. As a hands-on executive, you will lead teams spanning data science, ML engineering, and ML/Ops to drive business impact and develop concrete outcomes through the responsible and innovative use of data and AI. Key Responsibilities Strategic Leadership: Own and define the long-term AI and data science vision and strategy that advances 6sense’s mission of transforming B2B sales and marketing through predictive and generative intelligence. Articulate the role of AI in the business at the executive level, and translate complex science into clear product and business strategy. Act as a thought leader and evangelist for AI across the business – from applied use cases to ethical and responsible AI practices. Manage a diverse portfolio of AI initiatives, balancing short-term impact with long-term investments across generative AI, predictive modeling, and platform capabilities. Product Development and Innovation: Lead the conceptualization, development, and deployment of scalable AI products, with a strong emphasis on generative AI (GNI), NLP, agentic workflow, and customer-facing intelligence – from problem definition to deployment. Ensure research efforts translate into features, models and systems with measurable ROI. Define and track success metrics for data science and machine learning products and platforms. Lead the development of scalable and secure ML/Ops pipelines that support continuous training, deployment, and monitoring of models in production. Team & Culture: Partner deeply with Product, Engineering, and GTM teams to embed AI into the core product experience, translate customer needs into data driven solutions, and ensure measurable customer and business value. Recruit, mentor, and retain top-tier talent across data science and ML engineering, creating a culture of ownership, rigor, experimentation and delivery. Partner closely with product, engineering, and GTM to embed AI deeply into the customer journey. Thought Leadership & Industry Engagement Act as a visible champion for AI at 6sense-internally and externally-through thought leadership, speaking engagements, and strategic collaborations. Represent the company in industry forums, conferences, and publicatins to showcase 6sense’s AI capabilities and attract top talent. Foster applied research efforts that result in whitepapers, patents, and proprietary methodologies that differentiate 6sense’s AI capabilities in the market. Build external partnerships to stay at the cutting edge of AI advancements and drive strategic advantage. Required Qualifications 15+ years of experience in data science, machine learning, or applied AI roles, with at least 5+ years in senior leadership, including experience managing senior leaders and multi-disciplinary teams. Proven success leading AI product development—including generative AI (LLMs, retrieval-augmented generation, prompt engineering) and natural language processing (NER, classification, summarization, embeddings). Strong experience deploying ML systems in production, including recommender systems, LLMs, and agentic systems. Deep expertise in applied machine learning and statistical modeling in production environments, including recommender systems, time series prediction, and personalization. Track record of building AI-native or AI-led products that drive customer and business value. Prior experience working in B2B SaaS and/or Martech is strongly preferred. Strong business acumen with the ability to prioritize and balance long-term vision with near-term impact- while aligning senior stakeholders to drive action and sustainable results. Technical knowledge in modern ML toolkits, MLOps platforms, and cloud-based data architectures (e.g., AWS, Databricks, Kubernetes, etc.). Exceptional executive communication skills and the ability to influence across product, engineering, and C-level stakeholders. Bachelor's Degree or equivalent in a related field Strong leadership skills with a track record of attracting top technical talent and developing high-performing teams. Base Salary Range: $ 233,859 – 350,789 . The base salary range represents the anticipated low and high end of the base salary range for this position. Actual salaries may vary and may be above or below the range based on various factors, including but not limited to work location and experience. The base salary is one component of 6sense’s total compensation package for this position. Other compensation may include a bonus program or commission plan, and stock options if approved by 6sense’s board. In addition, 6sense provides a variety of benefits, including generous health insurance coverage, life, and disability insurance, a 401K employer matching program, paid holidays, self-care days, and paid time off (PTO). #Li-remote Notice of Collection and Use of Personal Information for California Residents: California Recruitment Privacy Notice and Policy Our Benefits: Full-time employees can take advantage of health coverage, paid parental leave, generous paid time-off and holidays, quarterly self-care days off, and stock options. We’ll make sure you have the equipment and support you need to work and connect with your teams, at home or in one of our oﬃces. We have a growth mindset culture that is represented in all that we do, from onboarding through to numerous learning and development initiatives including access to our LinkedIn Learning platform. Employee well-being is also top of mind for us. We host quarterly wellness education sessions to encourage self care and personal growth. From wellness days to ERG-hosted events, we celebrate and energize all 6sense employees and their backgrounds. Equal Opportunity Employer: 6sense is an Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. If you require reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to jobs@6sense.com . We are aware of recruiting impersonation attempts that are not affiliated with 6sense in any way. A ll email communications from 6sense will originate from the @6sense.com domain . We will not initially contact you via text message and will never request payments . If you are uncertain whether you have been contacted by an official 6sense employee, reach out to jobs@ 6sense.com",Full Time
63,AI Automation Engineer,Pomelo Care,"$135,000","$180,000",United States,"About us Pomelo Care is a multi-disciplinary team of clinicians, engineers and problem solvers who are passionate about improving care for moms and babies. We are transforming outcomes for pregnant people and babies with evidence-based pregnancy and newborn care at scale. Our technology-driven care platform enables us to engage patients early, conduct individualized risk assessments for poor pregnancy outcomes, and deliver coordinated, personalized virtual care throughout pregnancy, NICU stays, and the first postpartum year. We measure ourselves by reductions in preterm births, NICU admissions, c-sections and maternal mortality; we improve outcomes and reduce healthcare spend. What you'll do As an AI Automation Engineer, you will help transform how Pomelo operates by identifying manual processes and automating them with AI-powered solutions. You'll work cross-functionally to increase employee productivity and create intelligent systems that free up our team to focus on high-value work. On any given day, you may: Develop and maintain internal tools and systems that automate existing work and increase employee productivity using AI Use AI as much as possible to automate your own process of creating this software Collaborate with teams across the business to understand pain points and identify high-impact automation opportunities, then ensuring that they are adopted and deliver obvious value Rapidly prototype small AI-enabled utilities or automations and deploy them into production swiftly Supervise AI choices in architecture and technologies and debug complex systems when AI cannot handle them Who you are You're an innovative engineer who thrives on solving operational challenges through automation. You have a passion for AI tools and love finding ways to eliminate repetitive work. You get energized by seeing immediate productivity gains from your solutions. In particular, you: Have a strong foundation in computer science and at least two years of experience building and shipping high-quality software Have hands-on experience with AI/ML tools, LLMs and API integrations for automation Can quickly build both frontend interfaces and backend services using modern frameworks Act as a high-trust owner of systems that may handle sensitive data or business-critical logic Stay updated on the latest AI models and tools,and apply that knowledge to cross-functional automation projects We'll be super excited if you: Have prior experience building AI agents, workflow automation, or process optimization tools Have worked in healthcare, startups, or other fast-paced environments where automation drives significant business impact Have experience with no-code/low-code platforms, RPA tools, or business process automation Why you should join our team By joining Pomelo, you will get in on the ground floor of a fast-moving, well-funded, and mission-driven startup that always puts the patient first. You will learn, grow and be challenged -- and have fun with your team while doing it. We strive to create an environment where employees from all backgrounds are respected. We also offer: Competitive healthcare benefits Generous equity compensation Unlimited vacation Membership in the First Round Network (a curated and confidential community with events, guides, thousands of Q&A questions, and opportunities for 1-1 mentorship) At Pomelo, we are committed to hiring the best team to improve outcomes for all mothers and babies, regardless of their background. We need diverse perspectives to reflect the diversity of problems we face and the population we serve. We look to hire people from a variety of backgrounds, including but not limited to race, age, sexual orientation, gender identity and expression, national origin, religion, disability, and veteran status. Our salary ranges are based on paying competitively for our company’s size and industry, and are one part of the total compensation package that also includes equity, benefits, and other opportunities at Pomelo Care. In accordance with New York City, Colorado, California, and other applicable laws, Pomelo Care is required to provide a reasonable estimate of the compensation range for this role. Individual pay decisions are ultimately based on a number of factors, including qualifications for the role, experience level, skillset, geography, and balancing internal equity. Given that this role is open to candidates of different skill levels, determining a salary range is challenging. A reasonable estimate of the current salary range is $135,000 to $180,000. We expect most candidates to fall in the middle of the range. #LI-Remote Potential Fraud Warning Please be cautious of potential recruitment fraud. With the increase of remote work and digital hiring, phishing and job scams are on the rise with malicious actors impersonating real employees and sending fake job offers in an effort to collect personal or financial information. Pomelo Care will never ask you to pay a fee or download software as part of the interview process with our company. Pomelo Care will also never ask for your personal banking or other financial information until after you have signed an offer of employment and completed onboarding paperwork that is provided by our People Operations team. All official communication with Pomelo Care People Operations team will come from domain email addresses ending in @pomelocare.com. If you receive a message that seems suspicious, we encourage you to pause communication and contact us directly at careers@pomelocare.com to confirm its legitimacy. For your safety, we also recommend applying only through our official Careers page. If you believe you have been the victim of a scam or identity theft, please contact your local law enforcement agency or another trusted authority for guidance.",Full Time
64,Backend Engineer,Lightning AI,"$120,000","$250,000","New York, United States","Who We Are Lightning AI is the company reimagining the way AI is built. After creating and releasing PyTorch Lightning in 2019, Lightning AI was launched to reshape the development of artificial intelligence products for commercial and academic use. We are on a mission to simplify AI development, making it accessible to everyone—from solo researchers to large enterprises. By removing the complexity of building and deploying AI tools, we empower innovators to focus on solving real-world problems. Our platform is built to scale with the latest AI advancements while staying intuitive and adaptable, so you can bring your ideas to life. We have offices in New York City, San Francisco, and London and are backed by investors such as Coatue, Index Ventures, Bain Capital Ventures, and Firstminute. Our Values Move Fast : We act with speed and precision, breaking down big challenges into achievable steps. Focus : We complete one goal at a time with care, collaborating as a team to deliver features with precision. Balance : Sustained performance comes from rest and recovery. We ensure a healthy work-life balance to keep you at your best. Craftsmanship : Innovation through excellence. Every detail matters, and we take pride in mastering our craft. Minimal : Simplicity drives our innovation. We eliminate complexity through discipline and focus on what truly matters. What we're looking for We are looking for a Backend Engineer to work on developing and scaling the Lightning AI platform from the frontend, CLI, and API, to billing, security, and integrations. We want someone who can take ownership of key features and drive development from end to end while collaborating with a super-smart team of engineers, product managers, and designers. Here, you’ll build from proof of concept to release with a focus on speed, quality, and iteration. This is an opportunity to create groundbreaking technology that will transform the machine-learning ecosystem! You will be joining the Red Squad and report to our Director of Engineering. This is a hybrid role based in our New York City office with in-office requirements of 2 days per week. The salary range for this role is $120,000 - $250,000. What you’ll do Write readable/testable/efficient code in Go (Golang). Master our technology stack to deliver new features, improve system stability, and increase overall performance. Partner with engineering and product leaders on developing the Lightning product while using your experience to set the technical direction for large projects. Evaluate, strengthen, and document technical architecture, tools, and processes. Champion software quality, implement automation, drive continuous delivery, and reduce time to production while proactively reducing technical debt. Mentor and coach engineers on system design, operating in high uncertainty, and problem-solving to create a supportive, inclusive environment where each engineer can grow. What you’ll need Extensive experience writing efficient, maintainable code in Go. Familiarity with best practices in testing, readability, and optimization is essential. Broad knowledge of backend and frontend systems, with experience building and scaling APIs, CLI tools, billing systems, and security protocols. Exposure to frontend frameworks is a plus. Experience with cloud platforms like AWS, GCP, or Azure and designing systems that are reliable, performant, and scalable. Familiarity with containerization (Docker, Kubernetes) is a strong advantage. Proven ability to take ownership of key features and drive end-to-end development Commitment to software quality, test automation, and continuous delivery. Experience proactively managing technical debt and speeding up time to production. Hands-on experience as a backend or product engineer in a SaaS technology company Communication and collaboration with engineers, product managers, and designers Ability to operate in high uncertainty and rapidly changing environments Benefits and Perks We offer competitive base salaries and stock options with a 25% one year cliff and monthly vesting thereafter. For our international employees, we work with Velocity Global to pay you in your local currency and provide equitable benefits across the globe. In the US, we offer: Medical, dental and vision Life and AD&D insurance Flexible paid time off plus 1 week of winter closure Generous paid family leave benefits $500 monthly meal reimbursement, including groceries & food delivery services $500 one time home office stipend $1,000 annual learning & development stipend 100% Citibike membership (NYC only) $45/month gym membership Additional various medical and mental health services At Lightning AI, we are committed to fostering an inclusive and diverse workplace. We believe that diverse teams drive innovation and create better products. We provide equal employment opportunities to all employees and applicants without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, veteran status, or any other protected characteristic. We are dedicated to building a culture where everyone can thrive and contribute to their fullest potential.",Full Time
65,Enterprise Solutions (Presales/Sales) Engineer,DevRev,$15,$15,"Austin, Texas, United States; Palo Alto, California, United States; Remote - USA","DevRev At DevRev, we’re building the future of work with Computer – your AI teammate. Computer is not just another tool. It’s built on the belief that the future of work should be about genuine human connection and collaboration – not piling on more apps. Computer is the best kind of teammate: it amplifies your strengths, takes repetition and frustration out of your day, and gives you more time and energy to do your best work. How? Easy: it’s the only platform capable of… Complete data unification Most AI products focus on either structured data (like CRM records and support tickets), or unstructured data (like documents and emails). Computer AirSync connects everything, unifying all your data sources (like Google Workspace, Jira, Notion) into one AI-ready source of truth: Computer Memory. Powerful search, reasoning, and action Once connected to all your tools and apps, Computer is embedded in your full business context. It can find and summarize, sure. Even more impressive: it offers employees insights, strategic and proactive suggestions, plus powerful agentic actions. Extensions for your teams and customers Computer doesn’t make you choose between new software and old. Its AI-native platform lets you extend existing tools with sophisticated apps and agents. So your teams – and your customers – can take action, seamlessly. These agents work alongside you: updating workflows, coordinating across teams, and syncing back to your systems. This isn’t just software. Computer brings people back together, breaking down silos and ushering in the future of teamwork, through human-AI collaboration. Stop managing software. Stop wasting time. Start solving bigger problems, building better products, and making your customers happier. We call this Team Intelligence. It’s why DevRev exists. Trusted by global companies across multiple industries, DevRev is backed by Khosla Ventures and Mayfield, with $150M+ raised. We are 650+ people, across eight global offices. Enterprise Solutions (Presales/Sales) Engineer Locations (Palo Alto/ Austin/ Chicago/ NYC/ Atlanta/ DC) Role Overview At DevRev, Sales Engineers are customer-obsessed technical professionals who bridge the gap between cutting-edge product innovation and real customer needs. As a trusted advisor, you’ll support both direct sales cycles enabling customers as well as partners to fully understand, evaluate, and adopt DevRev solutions. You’ll blend technical acumen with storytelling, preparing and conducting tailored demos, guiding evaluations, and shaping proposals. In close collaboration with Sales, Product, and Engineering you’ll ensure customers and partners experience DevRev not just as a product, but as a strategic platform powering their success. Key Responsibilities Provide expert technical guidance throughout the sales cycle, addressing customer questions with clarity and confidence. Partner with account teams to understand use cases, uncover pain points, and design tailored solutions. Deliver engaging product demos, PoCs, and proofs of value that showcase DevRev’s differentiators and business impact. Contribute to RFP/RFI responses and create compelling proposals aligned to customer needs. Build strong relationships as a trusted technical advisor and ensure smooth handoffs to Customer Success. Translate business challenges into DevRev-aligned architectures and scalable solutions. Support customization, integrations, and configurations in collaboration with Product and Engineering. Provide early-stage onboarding support and issue resolution when needed. Equip partner SEs, resellers, and integrators to independently drive sales. Deliver workshops, bootcamps, certifications, and co-create joint service offerings. Train sales teams on product updates, technical capabilities, and competitive positioning. Develop technical playbooks, demo assets, guides, and case studies. Monitor competitor offerings and share insights to influence strategy. Mentor peers and foster a culture of collaboration and learning. Qualifications & Skills Bachelor’s or Master’s degree in Computer Science, Engineering, or related field. 5+ years of experience in Solutions / Sales Engineering, ideally within B2B SaaS. Proven track record delivering demos, workshops, technical proposals, and proofs of value. Familiarity with enterprise sales methodologies (e.g., Command of the Message, MEDDICC). Strong discovery and consultative selling mindset. Excellent communication and storytelling abilities, comfortable with both technical and executive stakeholders. Skilled presenter and whiteboard communicator. Effective cross-functional collaborator across Sales, Product, and Customer Success. Adaptive in unstructured environments; flexible team player who embraces all tasks. Strong technical acumen across APIs, integrations, DevOps, cloud platforms, and modern SaaS stacks. Experience consuming APIs and webhooks (e.g., Postman) and configuring integrations. Familiarity with major cloud platforms (AWS, Azure, GCP) and basic database querying with SQL. Bonus: Proficiency in Python or JavaScript/TypeScript; exposure to DevOps tools (Jira, GitHub), CRM & CX platforms (Salesforce, Zendesk, ServiceNow), and low-code platforms. Bonus: Experience with GenAI tools (e.g., Cursor, VS Code + Copilot), prompt design, and LLM-based workflows (chatbots, ticket deflection, AI assistants). Willingness to travel up to 50% as needed. Culture The foundation of DevRev is its culture -- our commitment to those who are hungry, humble, honest, and who act with heart. Our vision is to help build the earth’s most customer-centric companies. Our mission is to leverage design, data engineering, and machine intelligence to empower engineers to embrace their customers. That is DevRev!",Full Time
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,Senior Machine Learning Engineer,James Fowles,"$160,000","$260,000",United States,"Our Story Unlocking the Ageless Revolution for Patients and Practices: With 2 million users, over $2 billion generated revenue, and ranking among the Top 200 apps in Health & Fitness, RepeatMD is leading the charge as we expand into new verticals. Today, as a B2B SaaS company in the Aesthetics and Wellness Industry, we proudly serve 4000+ practices across all 50 states and Canada. We are looking for those who are passionate to join our mission! About the Role We’re building the next generation of AI-powered facial analysis and rejuvenation previews in the health and beauty space. Our goal is to give over 2 million users the ability to see what they could look like with aesthetic and wellness treatments before they ever step into a clinic. You’ll help bring this vision to life. You’ll design and optimize computer vision models that transform real patient images into realistic, medically accurate “after” results. You’ll work closely with product, design, and medical experts to train, fine-tune, and deploy models that help people make confident, informed decisions about their appearance and well-being. This role is ideal for someone who’s passionate about AI imaging, model training, and generative beauty tech and wants to build something that will redefine how people experience aesthetic and wellness care. Inherit, audit, and either harden or replace our current PoC. Your call, backed by data. Design a model platform that supports rapid hot-swapping, A/B testing, and instant rollback. Balance server GPU today with a practical path to partial on-device inference for privacy and latency. What You'll Do Model Development & Research Evaluate and benchmark state-of-the-art models (segmentation, detection, SDXL/diffusion, LLM-based classifiers) Select the best architectures balancing accuracy, inference speed, efficiency, and fairness Develop generative models for before/after treatment previews, ensuring realism, inclusivity, and clinical credibility Scalability & Optimization Design inference pipelines optimized for low latency and high throughput Use model compression, quantization, and distillation to reduce compute costs while maintaining accuracy Leverage AWS (Lambda, Step Functions, SageMaker, GPU pipelines) or equivalent to build cloud-scale systems Reliability & Guardrails Build quality-control systems (blur detection, orientation/rotation correction, lighting checks) Implement multi-candidate generation + ranking for robustness Ensure identity consistency and similarity verification across generated images Develop fallback algorithms for resilience under failure modes Production & MLOps Package models for deployment into production at scale, with proper versioning and monitoring Build CI/CD pipelines for continuous training, testing, and deployment Define and track key performance metrics (latency, throughput, drift, fairness, user satisfaction) Collaboration & Impact Work with product, engineering, and clinical teams to align on accuracy, safety, and inclusivity goals Stay up-to-date with research, and bring the best of academia and industry into production Act as a thought partner in shaping responsible AI practices within the product Mentor a small pod of ML and Platform engineers as hiring ramps. What Success Looks Like Model Performance: Maintain >95% accuracy on key facial analysis tasks while achieving <2s inference latency System Reliability: Achieve 99.5% uptime with proper fallback mechanisms Deployment Velocity: Ship model improvements to production within 2-week cycles Fairness Metrics: Ensure model performance parity across diverse demographic groups (±3% variance) Cost Efficiency: Reduce inference costs by 30% through optimization while maintaining quality standards What We're Looking For Required Master's/PhD in Computer Science, Machine Learning, or equivalent practical experience 5+ years of experience in applied ML, with a focus on computer vision and generative models Strong track record with segmentation, detection, and diffusion-based generative models (SDXL, Stable Diffusion, etc.) Deep expertise in optimizing ML for scalability and efficiency (quantization, pruning, distillation) Strong engineering background: Python, PyTorch/TensorFlow, clean production code Hands-on experience deploying ML at scale in AWS/GCP/Azure Proven ability to balance speed, accuracy, and cost in real-world deployments Comfort reading and integrating with a .NET and React stack via clean service contracts. Preferred Experience in healthtech, medtech, or regulated AI environments Knowledge of bias mitigation and fairness techniques in ML Experience with edge/low-compute deployment Contributions to open-source or research publications in computer vision/generative AI Prior experience scaling ML systems for millions of real-world users Experience leading a small ML pod. What We Offer The opportunity to own the ML architecture of a cutting-edge consumer health AI product Access to modern compute and datasets to experiment, train, and deploy Medical, Dental, Vision, and 401k through Justworks Stock options Parental leave (12 weeks maternity, 4 weeks paternity) Annual performance reviews Professional development budget (conferences, courses, publications) Flexible working arrangements, collaborative culture, and a mission-driven environment RepeatMD is an Equal Opportunity Employer. We highly value diversity of thought and experience at our company and encourage people of all backgrounds, experiences, abilities and perspectives to apply. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or other protected characteristics.",Full Time
